CMDLINE /usr/local/bin/python3 MemTest.py
MEM 0.308594 1631459690.8673
MEM 7.343750 1631459690.9767
MEM 12.601562 1631459691.0838
MEM 17.492188 1631459691.1913
MEM 22.921875 1631459691.2987
MEM 24.031250 1631459691.4122
CHLD 0 4.113281 1631459691.4307
CHLD 1 3.605469 1631459691.4307
CHLD 2 1.433594 1631459691.4308
CHLD 3 0.878906 1631459691.4309
MEM 24.074219 1631459691.5352
CHLD 0 6.261719 1631459691.5465
CHLD 1 5.363281 1631459691.5465
CHLD 2 6.175781 1631459691.5466
CHLD 3 5.492188 1631459691.5466
CHLD 4 4.234375 1631459691.5467
CHLD 5 4.496094 1631459691.5467
CHLD 6 2.851562 1631459691.5468
CHLD 7 3.429688 1631459691.5468
CHLD 8 0.292969 1631459691.5469
CHLD 9 1.011719 1631459691.5469
MEM 24.074219 1631459691.6482
CHLD 0 7.718750 1631459691.6568
CHLD 1 7.152344 1631459691.6568
CHLD 2 7.089844 1631459691.6569
CHLD 3 6.789062 1631459691.6569
CHLD 4 6.257812 1631459691.6570
CHLD 5 6.308594 1631459691.6570
CHLD 6 6.507812 1631459691.6571
CHLD 7 6.628906 1631459691.6571
CHLD 8 6.187500 1631459691.6572
CHLD 9 6.449219 1631459691.6572
MEM 24.074219 1631459691.7584
CHLD 0 8.554688 1631459691.7665
CHLD 1 8.351562 1631459691.7666
CHLD 2 7.917969 1631459691.7666
CHLD 3 7.832031 1631459691.7667
CHLD 4 7.863281 1631459691.7667
CHLD 5 7.824219 1631459691.7668
CHLD 6 7.734375 1631459691.7668
CHLD 7 7.722656 1631459691.7669
CHLD 8 8.410156 1631459691.7669
CHLD 9 7.332031 1631459691.7669
MEM 24.074219 1631459691.8708
CHLD 0 8.554688 1631459691.8806
CHLD 1 9.500000 1631459691.8807
CHLD 2 9.433594 1631459691.8807
CHLD 3 9.277344 1631459691.8808
CHLD 4 8.664062 1631459691.8808
CHLD 5 8.460938 1631459691.8809
CHLD 6 8.812500 1631459691.8809
CHLD 7 8.789062 1631459691.8810
CHLD 8 8.945312 1631459691.8810
CHLD 9 8.492188 1631459691.8811
MEM 23.445312 1631459691.9813
CHLD 0 8.554688 1631459691.9903
CHLD 1 9.796875 1631459691.9903
CHLD 2 10.925781 1631459691.9904
CHLD 3 10.882812 1631459691.9904
CHLD 4 9.468750 1631459691.9905
CHLD 5 9.445312 1631459691.9905
CHLD 6 9.535156 1631459691.9906
CHLD 7 9.503906 1631459691.9906
CHLD 8 9.476562 1631459691.9906
CHLD 9 9.433594 1631459691.9907
MEM 23.445312 1631459692.0957
CHLD 0 8.554688 1631459692.1065
CHLD 1 13.472656 1631459692.1066
CHLD 2 13.519531 1631459692.1066
CHLD 3 11.925781 1631459692.1067
CHLD 4 9.468750 1631459692.1067
CHLD 5 9.445312 1631459692.1068
CHLD 6 11.980469 1631459692.1068
CHLD 7 11.218750 1631459692.1069
CHLD 8 10.945312 1631459692.1069
CHLD 9 9.433594 1631459692.1069
MEM 23.445312 1631459692.2080
CHLD 0 8.554688 1631459692.2176
CHLD 1 16.007812 1631459692.2176
CHLD 2 15.207031 1631459692.2177
CHLD 3 12.527344 1631459692.2177
CHLD 4 11.500000 1631459692.2178
CHLD 5 11.164062 1631459692.2178
CHLD 6 12.398438 1631459692.2179
CHLD 7 11.937500 1631459692.2179
CHLD 8 12.132812 1631459692.2180
CHLD 9 11.242188 1631459692.2180
MEM 23.445312 1631459692.3241
CHLD 0 8.554688 1631459692.3330
CHLD 1 16.781250 1631459692.3331
CHLD 2 15.910156 1631459692.3331
CHLD 3 14.535156 1631459692.3332
CHLD 4 13.039062 1631459692.3332
CHLD 5 12.539062 1631459692.3333
CHLD 6 13.980469 1631459692.3333
CHLD 7 13.531250 1631459692.3334
CHLD 8 15.195312 1631459692.3334
CHLD 9 12.492188 1631459692.3334
MEM 23.445312 1631459692.4346
CHLD 0 8.554688 1631459692.4443
CHLD 1 21.804688 1631459692.4443
CHLD 2 21.777344 1631459692.4444
CHLD 3 15.691406 1631459692.4444
CHLD 4 14.312500 1631459692.4445
CHLD 5 14.062500 1631459692.4445
CHLD 6 15.093750 1631459692.4446
CHLD 7 14.972656 1631459692.4447
CHLD 8 15.562500 1631459692.4447
CHLD 9 14.085938 1631459692.4448
MEM 23.445312 1631459692.5465
CHLD 0 8.554688 1631459692.5560
CHLD 1 22.882812 1631459692.5560
CHLD 2 22.531250 1631459692.5561
CHLD 3 18.890625 1631459692.5561
CHLD 4 15.578125 1631459692.5562
CHLD 5 15.437500 1631459692.5562
CHLD 6 17.710938 1631459692.5562
CHLD 7 16.773438 1631459692.5563
CHLD 8 18.550781 1631459692.5563
CHLD 9 15.160156 1631459692.5564
MEM 21.414062 1631459692.6592
CHLD 0 8.554688 1631459692.6694
CHLD 1 23.160156 1631459692.6695
CHLD 2 23.300781 1631459692.6695
CHLD 3 20.300781 1631459692.6696
CHLD 4 16.250000 1631459692.6696
CHLD 5 15.773438 1631459692.6697
CHLD 6 18.644531 1631459692.6697
CHLD 7 18.847656 1631459692.6698
CHLD 8 20.273438 1631459692.6698
CHLD 9 15.785156 1631459692.6698
MEM 19.468750 1631459692.7747
CHLD 0 8.554688 1631459692.7829
CHLD 1 24.382812 1631459692.7829
CHLD 2 23.980469 1631459692.7830
CHLD 3 21.824219 1631459692.7830
CHLD 4 18.582031 1631459692.7831
CHLD 5 17.718750 1631459692.7831
CHLD 6 20.605469 1631459692.7831
CHLD 7 20.742188 1631459692.7832
CHLD 8 21.796875 1631459692.7832
CHLD 9 17.000000 1631459692.7833
MEM 18.867188 1631459692.8874
CHLD 0 8.242188 1631459692.8963
CHLD 1 24.304688 1631459692.8963
CHLD 2 23.753906 1631459692.8964
CHLD 3 22.785156 1631459692.8964
CHLD 4 20.730469 1631459692.8964
CHLD 5 21.500000 1631459692.8965
CHLD 6 22.359375 1631459692.8965
CHLD 7 22.628906 1631459692.8966
CHLD 8 22.878906 1631459692.8966
CHLD 9 20.304688 1631459692.8966
MEM 17.867188 1631459692.9990
CHLD 0 8.171875 1631459693.0064
CHLD 1 24.289062 1631459693.0065
